=== YFFS2 Test Operations ===

=== YAFFS2 Media Information ===
Mount point          : /
Filesystem type      : YAFFS2
Total space          : 32768 KB (32 MB)
Free space           : 18300 KB (17 MB)
Used space           : 14467 KB (14 MB)
Usage                : 44% used, 56% free
GC Recommendation    : Low usage - passive garbage collection sufficient

=== Test Configuration ===
Files count      : 1000
File size        : 10240 bytes (10.0 KB)
Block size       : 65536 bytes (64.0 KB)
Data pattern     : Constant (0xAA)
Data verification: Enabled

Test operations:
<1> - Write files test
<2> - Read files test
<3> - Delete files test
<4> - Format filesystem test
<5> - Run full test (write+read+delete)

Configuration:
<6> - Change files count (1-10000)
<7> - Change file size (1KB-1MB)
<8> - Change block size (1KB-128KB)
<A> - Change data pattern
<B> - Toggle data verification
<C> - Change constant pattern value
<9> - Reset to defaults
<ESC> - Return to previous menu

Enter choice: 
=== YAFFS2 Read Test ===

=== Test Configuration ===
Files count      : 1000
File size        : 10240 bytes (10.0 KB)
Block size       : 65536 bytes (64.0 KB)
Data pattern     : Constant (0xAA)
Data verification: Enabled
Reading 1000 files of 10240 bytes each...
File /test_098.bin: opened:   448 us, closed:     3 us, I/O:   2142 us, total:   7879 us, speed:  4668 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_099.bin: opened:   420 us, closed:     3 us, I/O:   2134 us, total:   7824 us, speed:  4686 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_100.bin: opened:   398 us, closed:     3 us, I/O:   2143 us, total:   7798 us, speed:  4666 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_101.bin: opened:   398 us, closed:     3 us, I/O:   2132 us, total:   7820 us, speed:  4690 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_102.bin: opened:   400 us, closed:     3 us, I/O:   2135 us, total:  13725 us, speed:  4683 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_103.bin: opened:   403 us, closed:     3 us, I/O:   2136 us, total:   7777 us, speed:  4681 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_104.bin: opened:   407 us, closed:     3 us, I/O:   2137 us, total:   7877 us, speed:  4679 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_105.bin: opened:   408 us, closed:     3 us, I/O:   2146 us, total:   7864 us, speed:  4659 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_106.bin: opened:   414 us, closed:     3 us, I/O:   2137 us, total:   7897 us, speed:  4679 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_107.bin: opened:   420 us, closed:     3 us, I/O:   2168 us, total:   7846 us, speed:  4612 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_108.bin: opened:   424 us, closed:     3 us, I/O:   2137 us, total:   7857 us, speed:  4679 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_109.bin: opened:   426 us, closed:     3 us, I/O:   2143 us, total:   7930 us, speed:  4666 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_110.bin: opened:   395 us, closed:     3 us, I/O:   2135 us, total:   7849 us, speed:  4683 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_111.bin: opened:   394 us, closed:     3 us, I/O:   2139 us, total:   7826 us, speed:  4675 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_112.bin: opened:   396 us, closed:     3 us, I/O:   2168 us, total:  13771 us, speed:  4612 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_113.bin: opened:   400 us, closed:     3 us, I/O:   2130 us, total:   7792 us, speed:  4694 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
