=== Read Test ===
Filesystem integrity check: OK
Reading 1000 files, 65536 byte blocks
Data pattern: Constant (0xAA), Verification: ON
Reading /test_096.bin... opened:  4468 us, closed:     3 us, I/O:   1892 us, total:  11518 us, speed:  5285 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_097.bin... opened:  4441 us, closed:     3 us, I/O:   1890 us, total:  11539 us, speed:  5291 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_098.bin... opened:  4457 us, closed:     3 us, I/O:   1892 us, total:  11507 us, speed:  5285 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_099.bin... opened:  4478 us, closed:     3 us, I/O:   1922 us, total:  11563 us, speed:  5202 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_100.bin... opened:  4432 us, closed:     3 us, I/O:   1888 us, total:  11482 us, speed:  5296 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_101.bin... opened:  4442 us, closed:     3 us, I/O:   1890 us, total:  11516 us, speed:  5291 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_102.bin... opened:  4384 us, closed:     3 us, I/O:   1888 us, total:  11432 us, speed:  5296 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_103.bin... opened: 10251 us, closed:     3 us, I/O:   1892 us, total:  17271 us, speed:  5285 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_104.bin... opened:  4369 us, closed:     3 us, I/O:   1888 us, total:  11424 us, speed:  5296 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_105.bin... opened:  4351 us, closed:     3 us, I/O:   1890 us, total:  11386 us, speed:  5291 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_106.bin... opened:  4360 us, closed:     3 us, I/O:   1888 us, total:  11428 us, speed:  5296 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_107.bin... opened:  4298 us, closed:     3 us, I/O:   1888 us, total:  11371 us, speed:  5296 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_108.bin... opened:  4294 us, closed:     3 us, I/O:   1885 us, total:  11363 us, speed:  5305 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_109.bin... opened:  4277 us, closed:     3 us, I/O:   1891 us, total:  11288 us, speed:  5288 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_110.bin... opened:  4275 us, closed:     3 us, I/O:   1889 us, total:  17286 us, speed:  5293 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_111.bin... opened:  4238 us, closed:     3 us, I/O:   1885 us, total:  11340 us, speed:  5305 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_112.bin... opened:  4232 us, closed:     3 us, I/O:   1889 us, total:  11289 us, speed:  5293 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_113.bin... opened:  4200 us, closed:     3 us, I/O:   1887 us, total:  11235 us, speed:  5299 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_114.bin... opened:  4194 us, closed:     3 us, I/O:   1888 us, total:  11233 us, speed:  5296 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_115.bin... opened:  4232 us, closed:     3 us, I/O:   1896 us, total:  11274 us, speed:  5274 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_116.bin... opened:  4177 us, closed:     3 us, I/O:   1886 us, total:  11244 us, speed:  5302 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_117.bin... opened:  4162 us, closed:     3 us, I/O:   1885 us, total:  11211 us, speed:  5305 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_118.bin... opened: 10099 us, closed:     3 us, I/O:   1891 us, total:  17133 us, speed:  5288 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_119.bin... opened:  4125 us, closed:     3 us, I/O:   1890 us, total:  11181 us, speed:  5291 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_120.bin... opened:  4097 us, closed:     6 us, I/O:   1884 us, total:  11154 us, speed:  5307 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
