=== Write Test ===
Filesystem integrity check: OK
Writing 1000 files, 10240 bytes each, 65536 byte blocks
Data pattern: Constant (0xAA), Verification: ON
Writing /test_150.bin... opened:  5450 us, closed:   439 us, I/O:  80085 us, total:  90934 us, speed:   124 KB/s, CRC32: 0xC61C2AA0
Writing /test_151.bin... opened:  5537 us, closed:   439 us, I/O:  89428 us, total: 100330 us, speed:   111 KB/s, CRC32: 0xC61C2AA0
Writing /test_152.bin... opened:  5598 us, closed:   442 us, I/O:  92053 us, total: 103026 us, speed:   108 KB/s, CRC32: 0xC61C2AA0
Writing /test_153.bin... opened:  5625 us, closed:   442 us, I/O:  83274 us, total:  94456 us, speed:   120 KB/s, CRC32: 0xC61C2AA0
Writing /test_154.bin... opened:  5866 us, closed:   416 us, I/O:  95424 us, total: 106608 us, speed:   104 KB/s, CRC32: 0xC61C2AA0
Writing /test_155.bin... opened:  5898 us, closed:   421 us, I/O:  86295 us, total:  97537 us, speed:   115 KB/s, CRC32: 0xC61C2AA0
Writing /test_156.bin... opened:  5939 us, closed:   384 us, I/O:  84332 us, total:  95564 us, speed:   118 KB/s, CRC32: 0xC61C2AA0
Writing /test_157.bin... opened:  5964 us, closed:   373 us, I/O: 106350 us, total: 117623 us, speed:    94 KB/s, CRC32: 0xC61C2AA0
Writing /test_158.bin... opened: 11995 us, closed:   344 us, I/O:  93855 us, total: 111107 us, speed:   106 KB/s, CRC32: 0xC61C2AA0
Writing /test_159.bin... opened:  6028 us, closed:   327 us, I/O:  87970 us, total:  99263 us, speed:   113 KB/s, CRC32: 0xC61C2AA0
Writing /test_160.bin... opened:  6069 us, closed:   306 us, I/O:  87944 us, total:  99254 us, speed:   113 KB/s, CRC32: 0xC61C2AA0
Writing /test_161.bin... opened:  6073 us, closed: 1500403 us, I/O:  98958 us, total: 1610383 us, speed:   101 KB/s, CRC32: 0xC61C2AA0
Writing /test_162.bin... opened:  5757 us, closed:   439 us, I/O:  88633 us, total:  99752 us, speed:   112 KB/s, CRC32: 0xC61C2AA0
Writing /test_163.bin... opened:  5840 us, closed:   442 us, I/O:  90367 us, total: 101568 us, speed:   110 KB/s, CRC32: 0xC61C2AA0
Writing /test_164.bin... opened:  5884 us, closed:   442 us, I/O: 106884 us, total: 118145 us, speed:    93 KB/s, CRC32: 0xC61C2AA0
Writing /test_165.bin... opened:  5924 us, closed:   441 us, I/O:  82170 us, total:  93503 us, speed:   121 KB/s, CRC32: 0xC61C2AA0
Writing /test_166.bin... opened:  6008 us, closed:   445 us, I/O:  90498 us, total: 101861 us, speed:   110 KB/s, CRC32: 0xC61C2AA0
Writing /test_167.bin... opened:  6053 us, closed:   443 us, I/O:  97342 us, total: 108775 us, speed:   102 KB/s, CRC32: 0xC61C2AA0
Writing /test_168.bin... opened:  6116 us, closed:   442 us, I/O: 100020 us, total: 111510 us, speed:    99 KB/s, CRC32: 0xC61C2AA0
Writing /test_169.bin... opened:  6357 us, closed:   441 us, I/O:  94999 us, total: 106768 us, speed:   105 KB/s, CRC32: 0xC61C2AA0
Writing /test_170.bin... opened:  6407 us, closed:   442 us, I/O:  85040 us, total:  96847 us, speed:   117 KB/s, CRC32: 0xC61C2AA0
Writing /test_171.bin... opened:  6482 us, closed:   445 us, I/O:  99962 us, total: 111786 us, speed:   100 KB/s, CRC32: 0xC61C2AA0
Writing /test_172.bin... opened:  6521 us, closed:   443 us, I/O:  89480 us, total: 101375 us, speed:   111 KB/s, CRC32: 0xC61C2AA0
Writing /test_173.bin... opened:  6595 us, closed:   444 us, I/O:  98966 us, total: 110931 us, speed:   101 KB/s, CRC32: 0xC61C2AA0
Writing /test_174.bin... opened:  6645 us, closed:   445 us, I/O:  83922 us, total: 101915 us, speed:   119 KB/s, CRC32: 0xC61C2AA0
Writing /test_175.bin... opened: 12677 us, closed:   442 us, I/O:  99129 us, total: 117137 us, speed:   100 KB/s, CRC32: 0xC61C2AA0
Writing /test_176.bin... opened:  6792 us, closed:   441 us, I/O:  89867 us, total: 101993 us, speed:   111 KB/s, CRC32: 0xC61C2AA0
Writing /test_177.bin... opened:  6985 us, closed:   423 us, I/O:  84219 us, total:  96550 us, speed:   118 KB/s, CRC32: 0xC61C2AA0
Writing /test_178.bin... opened:  7039 us, closed:   407 us, I/O:  95150 us, total: 107515 us, speed:   105 KB/s, CRC32: 0xC61C2AA0
Writing /test_179.bin... opened:  7061 us, closed:   392 us, I/O:  98060 us, total: 110435 us, speed:   101 KB/s, CRC32: 0xC61C2AA0
Writing /test_180.bin... opened:  7108 us, closed:   365 us, I/O:  90557 us, total: 102931 us, speed:   110 KB/s, CRC32: 0xC61C2AA0
Writing /test_181.bin... opened:  7128 us, closed:   347 us, I/O:  92483 us, total: 104886 us, speed:   108 KB/s, CRC32: 0xC61C2AA0
Writing /test_182.bin... opened:  7173 us, closed:   324 us, I/O:  83830 us, total:  96284 us, speed:   119 KB/s, CRC32: 0xC61C2AA0
Writing /test_183.bin... opened:  7199 us, closed:   299 us, I/O:  84138 us, total:  96570 us, speed:   118 KB/s, CRC32: 0xC61C2AA0
Writing /test_184.bin... opened:  7227 us, closed: 507472 us, I/O:  85717 us, total: 605334 us, speed:   116 KB/s, CRC32: 0xC61C2AA0
Writing /test_185.bin... opened:  6048 us, closed:   441 us, I/O:  94235 us, total: 105676 us, speed:   106 KB/s, CRC32: 0xC61C2AA0
